listing_id	listing_name	location_address	season_month	products	share_size	share_itemsinsharebox	share_availabledate	share_paymentoption	deliverpickup_method	specialproductionmethods	acceptedpayment	FNAP
200000	Alaskans Own Seafood	"834 Lincoln St. Rm 23, Sitka, Alaska 99835"	May to October	"blackcod, lingcod, rockfish, halibutTuna;blackcod, lingcod, rockfish, halibut;;"	Full shares;Half shares;4 or 6 months;	CSA decides product based on supply availability;	2014-03-28	One advance payment prior to the beginning of the delivery season;	Deliver directly to customer's homes;	"Organic (USDA Certified);line-caught, wild fish;"	Cash;Personal Checks;Debit card/Credit card;	
200001	Arctic Organics	"1305 North Smith Rd, Palmer, Alaska 99645"	June to September	"Arugula;Beans, other (lima, etc.);Beets;Brussels sprouts;Carrots;Cauliflower;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Lettuce (head, leaf, etc.);Mache/lamb’s lettuce;Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Parsnips;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Turnips;;"	Half shares;	CSA decides product based on supply availability;	2014-04-15		Deliver directly to customer's homes;Deliver to one or more neighborhood sites;	Organic (USDA Certified);No pesticides;	Cash;Personal Checks;	
200002	Calypso Farm and Ecology Center	"4780 Old Nenana Hwy, Ester, Alaska 99709"	June to September	"Beans, other (lima, etc.);Beets;Cabbage;Carrots;Cauliflower;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Kale;Kohlrabi;Mixed leafy greens;Mizuna;Okra;Peanuts;Peas;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Squash, summer: zucchini, etc.;Tomatoes (cherry, grape, etc.);;Cut flowers;Fresh and/or dried herbs;"	Full shares;Half shares;	CSA decides product based on supply availability;Storage Vegetables Storage vegetables are an add-on option available with the Family or Economy  vegetable shares. Most storage vegetables will be distributed mid-September.;	2014-03-31	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;Reduced subscription/membership fees in exchange for labor;Reduced subscription/membership fees based on household income;	Deliver directly to customer's homes;Deliver to one or more neighborhood sites;	Organic (USDA Certified);Organically grown;	Cash;Personal Checks;Debit card/Credit card;	SNAP;
200003	Spinach Creek Farm	"5181 Murphy Dome Road, Fairbanks, Alaska 99709"	June to September	"Arugula;Beans, other (lima, etc.);Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Lettuce (head, leaf, etc.);Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Peanuts;Peas;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Soybeans;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;;Fresh and/or dried herbs;"	Half shares;	CSA decides product based on supply availability;	2014-06-15	One advance payment prior to the beginning of the delivery season;	Deliver directly to customer's homes;	Organic (USDA Certified);	Cash;Personal Checks;	
200004	SlowMoneyFarm	"180 3rd street, Nauvoo, Alabama 35578"		"Cherries (sweet, tart, etc.);Peaches (yellow, white, etc.);Pears;Plums (black, green, red, etc.);;Arugula;Spinach: baby, regular;Sweet potatoes;Turnip greens;;Baked goods: breads, pies, etc.;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Cut flowers;Eggs;Fresh and/or dried herbs;Grains and/or flour;Pet food;MuscovyChicken;Cornish game hens;Goose;Quail;Turkey;Muscovy;;Beef/veal (sausage);Bison (ground);Bison (steaks, roasts);Goat;Lamb (chops, roasts);Lamb (sausage);Pork (bacon);Pork (ham);;Soap and/or body care products;Natural craft items - gourds, feathers, angora fiber, fur (from meat rabbits, using whole animal);"	"Half shares;craft shares, pet shares;"	CSA decides product based on supply availability;CSA offers options for specific product categories;	2014-03-22	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;Reduced subscription/membership fees in exchange for labor;Reduced subscription/membership fees based on household income;	Deliver directly to customer's homes;Deliver to one or more neighborhood sites;	Organic (USDA Certified);No antibiotics;No hormones;	"Barter;Cash;Debit card/Credit card;Paypal, possibly some barter;Paypal, possibly some barter;"	
200005	"The Fagan Funny Farm, LLC"	", Equality, Alabama"	April to September	"Currants;Kiwi;Peaches (yellow, white, etc.);;Arugula;Beans, other (lima, etc.);Bok Choy;Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Kale;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Pumpkin;Radishes;Rhubarb;Spinach: baby, regular;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Dairy products: milk, cheese, etc.;Eggs;Honey;Soap and/or body care products;"	Full shares;Half shares;	CSA decides product based on supply availability;	2014-05-20	One advance payment prior to the beginning of the delivery season;Reduced subscription/membership fees based on household income;	Deliver to customers' workplaces;Customers pick up from CSA farm;	Organic (USDA Certified);No hormones;Pasture-raised/free-range animals;Humane treatment of animals;	Cash;	
200006	Arkansas Local Food Network	"509 Scott St, Little Rock, Arkansas 72201"	Year-round	"mulberriesApples;Cherries (sweet, tart, etc.);Currants;Figs;Grapes (black, green, red, etc.);Mangos, papayas, pineapples and other tropical fruit;Pears;Persimmons;Plums (black, green, red, etc.);mulberries;;Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Brussels sprouts;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Green beans;Kale;Kohlrabi;Mixed leafy greens;Mizuna;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Parsnips;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Shallots;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Baked goods: breads, pies, etc.;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Coffee and/or tea;Cut flowers;Dairy products: milk, cheese, etc.;Eggs;Fresh and/or dried herbs;Honey;Juices and/or non-alcoholic ciders;Mushrooms;Nuts;Pet food;Chicken;Turkey;;Beef/veal (ground);Beef/veal (sausage);Bison (ground);Bison (steaks, roasts);Goat;Lamb (chops, roasts);Lamb (sausage);Pork (bacon);Pork (chops, roasts);Pork (cold cuts);Pork (sausage);Rabbit;;Soap and/or body care products;Wild harvested forest products: mushrooms, medicinal herbs, edible fruits and nuts, etc.;"	weekly ordering;	Customers order specific items in advance of each delivery;	2014-01-01	Payments in installments over the course of each delivery season;Reduced subscription/membership fees in exchange for labor;	Deliver to one or more neighborhood sites;	Organic (USDA Certified);No antibiotics;No hormones;No pesticides;Pasture-raised/free-range animals;Humane treatment of animals;	Cash;Personal Checks;Debit card/Credit card;	SNAP;
200007	Avalon Organic Gardens & EcoVillage	"P.O. Box 4910, Tubac, Arizona 85646"	Year-round	"Native Foods: Purslane, Amaranth, Nopales and Pricky Pear(Cactus),Artichoke;Arugula;Asparagus;Beans (string);Beets;Bok Choy;Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Green beans;Green onions/scallions;Kale;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Parsnips;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Rhubarb;Shallots;Spinach: baby, regular;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;Native Foods: Purslane, Amaranth, Nopales and Pricky Pear(Cactus),;;Eggs;Fresh and/or dried herbs;"	Half shares;Two thirds shares and CSA restaurant;	CSA decides product based on supply availability;at the beginning of the year we look into what we can make availble with the input we get from the customers;	2014-01-02	"six weeks minimum ahead, for SNAP members 2 weeks min., trades for labor and donations vary;"	Deliver directly to customer's homes;Deliver to one or more neighborhood sites;	"Organic (USDA Certified);No antibiotics;No hormones;No pesticides;Humane treatment of animals;Bio dynamic and organic methods, but not certified;"	Volunteer Work;Cash;Personal Checks;Debit card/Credit card;Trades for volunteer work or material donations;	SNAP;
200008	"YCGrown, the Yavapai County Farmers & Ranchers Cooperative"	"P.O. Box 291, Chino Valley, Arizona 86323"	June to October	"Apples;Apricots;Cherries (sweet, tart, etc.);Figs;Grapes (black, green, red, etc.);Kiwi;Oranges, clementine, mandarins, tangerines, tangelos;Pears;Plums (black, green, red, etc.);Watermelons;;Alfalfa sprouts;Artichoke;Arugula;Asparagus;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Green beans;Green onions/scallions;Kale;Kohlrabi;Leeks;Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Peanuts;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Rutabaga;Shallots;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatillo;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Dry beans;Eggs;Fresh and/or dried herbs;Honey;Mushrooms;Nuts;Chicken;Pheasant;;Beef/veal (steaks, roasts);Elk;Lamb (ground);;"	Full shares;Half shares;	CSA offers options for specific product categories;	2014-04-01	Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;	"Organic (USDA Certified);No pesticides;Pasture-raised/free-range animals;Humane treatment of animals;Fair labor practices, living wage, fair trade, etc.;No GMOs;"	Cash;Personal Checks;Debit card/Credit card;	SNAP;
200009	Elderberry Edibles CSA & Market Garden	"1700 N. Wentworth Road, Tucson, Arizona 85749"	September to December	"Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Green beans;Kale;Kohlrabi;Lettuce (head, leaf, etc.);Mixed leafy greens;Mustard Greens;Okra;Parsnips;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Rutabaga;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Cut flowers;Dry beans;Eggs;Honey;"	Half shares;	CSA decides product based on supply availability;		One advance payment prior to the beginning of the delivery season;	Deliver to one or more neighborhood sites;	Organic (USDA Certified);naturally grown;	Cash;Personal Checks;Debit card/Credit card;	
